URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
135|SAMSUNG 120GB 7200RPM 8MB SATA|1|1|2|103,455|0,0000|0|0|8692212121|ADET||
136|SAMSUNG 160GB 7200RPM 8MB SATA|1|1|2|119,79|0,0000|0|0|8692212121|ADET||
137|SAMSUNG 160GB 7200RPM 8MB|1|1|2|110,11|0,0000|0|0|8692212121|ADET||
138|MAXTOR 80 GB 7200 RPM U.ATA|1|1|2|69,454|0,0000|0|0|8692212121|ADET||
139|SEAGATE 40 GB 7200 RPM U.ATA|1|1|2|62,92|0,0000|0|0|8692212121|ADET||
140|SEAGATE 200GB 7200RPM 8MB SATA|1|1|2|140,36|0,0000|0|0|8692212121|ADET||
141|SAMSUNG 160GB 7200 ATA|1|1|2|104,06|0,0000|0|0|8692212121|ADET||
142|SAMSUNG 120GB 7200 ATA 8MB|1|1|2|100,43|0,0000|0|0|8692212121|ADET||
143|INCA 56K INT.|1|1|2|7,744|0,0000|0|0|8692212121|ADET||
144|INCA 56K EXT.|1|1|2|33,88|0,0000|0|0|8692212121|ADET||
145|US ROBOTICS 56K EXT V92|1|1|2|75,02|0,0000|0|0|8692212121|ADET||
146|ZOOM ADSL 5554 X5 USB 4X ETHERNET|1|1|2|114,95|0,0000|0|0|8692212121|ADET||
147|ZOOM ADSL 5510 USB ADSL|1|1|2|61,71|0,0000|0|0|8692212121|ADET||
148|PIKATEL ADSL EA-103USB|1|1|2|47,19|0,0000|0|0|8692212121|ADET||
149|PIKATEL ADSL EA-135 4 PORT ROUTER|1|1|2|79,86|0,0000|0|0|8692212121|ADET||
150|INCA ADSL USB|1|1|2|47,19|0,0000|0|0|8692212121|ADET||
151|PHILIPS 17" 107T MONITOR|1|1|2|162,14|0,0000|0|0|8692212121|ADET||
152|VESTEL 17" FLAT BEYAZ MONITOR|1|1|2|121|0,0000|0|0|8692212121|ADET||
153|SAMSUNG 15" 152V LCD|1|1|2|417,45|0,0000|0|0|8692212121|ADET||
154|SAMSUNG 17" 793 DF|1|1|2|146,41|0,0000|0|0|8692212121|ADET||
155|SAMSUNG 17" 793S|1|1|2|118,58|0,0000|0|0|8692212121|ADET||
156|SONY 17" SDM-S73H LCD|1|1|2|320,65|0,0000|0|0|8692212121|ADET||
157|LG 15" 1510S LCD|1|1|2|326,7|0,0000|0|0|8692212121|ADET||
158|PHILIPS 17" 107E56 SÝYAH|1|1|2|127,05|0,0000|0|0|8692212121|ADET||
159|LIKOM 17" CRT|1|1|2|105,27|0,0000|0|0|8692212121|ADET||
160|PHILIPS 19" 109B|1|1|2|296,45|0,0000|0|0|8692212121|ADET||
161|PHILIPS 15" LCD 150S5FG|1|1|2|317,02|0,0000|0|0|8692212121|ADET||
162|SAMSUNG 19" 957MB|1|1|2|321,86|0,0000|0|0|8692212121|ADET||
163|SAMSUNG 17"LCD 172X|1|1|2|592,9|0,0000|0|0|8692212121|ADET||
164|SAMSUNG 17" LCD 172B|1|1|2|562,65|0,0000|0|0|8692212121|ADET||
165|SONY 15" LCD S53H|1|1|2|268,62|0,0000|0|0|8692212121|ADET||
166|A4 TECH MOUSE PS/2 1 SCROLL SWW-35|1|1|2|3,63|0,0000|0|0|8692212121|ADET||
167|A4 TECH SWOP-3 RAINBOW PS/2|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
168|A4 TECH WOP-35 OPTIK PS/2|1|1|2|8,47|0,0000|0|0|8692212121|ADET||
169|A4TECH SWOP35-OPTICAL GREAT EYE 3D|1|1|2|7,26|0,0000|0|0|8692212121|ADET||
170|MICROSOFT M20-00003 NOTEBOOK OPTIK USB|1|1|2|18,15|0,0000|0|0|8692212121|ADET||
171|MICROSOFT B75-00072 INTELLI MOUSE EXPLORER|1|1|2|25,41|0,0000|0|0|8692212121|ADET||
172|A4 TECH OK-720PS FAST MOUSE|1|1|2|1,254|0,0000|0|0|8692212121|ADET||
173|A4 TECH SWW35-USB 3D MOUSE|1|1|2|4,356|0,0000|0|0|8692212121|ADET||
174|A4 TECH WOP 49 OPTICAL 4D MOUSE|1|1|2|10,285|0,0000|0|0|8692212121|ADET||
175|A4 TECH RP-648 RF OPTIC PS\2 USB|1|1|2|24,2|0,0000|0|0|8692212121|ADET||
176|A4 TECH RP-649 RF OPTIC MOUSE|1|1|2|25,586|0,0000|0|0|8692212121|ADET||
177|OEM 256 MB DDR.RAM 400 MHZ.|1|1|2|39,93|0,0000|0|0|8692212121|ADET||
178|OEM 128 MB. DDR PC2100|1|1|2|22,99|0,0000|0|0|8692212121|ADET||
179|OEM 256MB PC3200 DDR400|1|1|2|39,93|0,0000|0|0|8692212121|ADET||
180|KINGSTON 512MB PC3200 DDR 400 C2.5|1|1|2|116,16|0,0000|0|0|8692212121|ADET||
181|ASUS A7V880|1|1|2|76,23|0,0000|0|0|8692212121|ADET||
182|GIGABYTE 7N400L|1|1|2|89,54|0,0000|0|0|8692212121|ADET||
183|GIGABYTE 8I915GMF|1|1|2|127,05|0,0000|0|0|8692212121|ADET||
184|GIGABYTE 8S651MRZ|1|1|2|56,87|0,0000|0|0|8692212121|ADET||
185|GIGABYTE 8S648FXL|1|1|2|62,92|0,0000|0|0|8692212121|ADET||
186|INCA 300K USB CAMERA WEB|1|1|2|20,57|0,0000|0|0|8692212121|ADET||
187|PHILIPS PCVC840K USB WEB|1|1|2|133,1|0,0000|0|0|8692212121|ADET||
188|ASUS 52X  CDROM|1|1|2|19,965|0,0000|0|0|8692212121|ADET||
189|PHILIPS 52X24X52X EXT.|1|1|2|90,75|0,0000|0|0|8692212121|ADET||
190|LG COMBO  52X32X52XCDRW  16X DVD|1|1|2|56,87|0,0000|0|0|8692212121|ADET||
191|PENTIUM 4 2.4 GHZ 512K/533 BOX|1|1|2|153,67|0,0000|0|0|8692212121|ADET||
192|PENTIUM 4 2.8 GHZ 533FSB/512K BOX|1|1|2|202,07|0,0000|0|0|8692212121|ADET||
193|PENTIUM 4 3.06 GHZ 800FSB/1MB BOX|1|1|2|224,455|0,0000|0|0|8692212121|ADET||
194|ASUS 128MB V9520 MAGIC-T|1|1|2|61,71|0,0000|0|0|8692212121|ADET||
195|FLY GF4 128MB MX440|1|1|2|48,4|0,0000|0|0|8692212121|ADET||
196|DAYTONA 64MB MX400|1|1|2|34,485|0,0000|0|0|8692212121|ADET||
197|MSI 128MB 8936-Z03 FX5200XT-T128 TVO|1|1|2|60,5|0,0000|0|0|8692212121|ADET||
198|MSI 256MB 8911-Z09 FX5600XT-TD 128BIT|1|1|2|104,06|0,0000|0|0|8692212121|ADET||
199|MSI 128MB 8948-Z02 FX5700XT-VTD VI TV|1|1|2|146,41|0,0000|0|0|8692212121|ADET||
200|MSI 6728 I865P NEO2 FIS2R FSB800 PRESCOT|1|1|2|79,86|0,0000|0|0|8692212121|ADET||
201|MSI 6734 KM4AM-L SES VGA LAN 8X DDR400 SATA|1|1|2|62,92|0,0000|0|0|8692212121|ADET||
202|ASROCK VIA P4Ý45GV DDR SES+VGA+LAN PRESCOT|1|1|2|50,215|0,0000|0|0|8692212121|ADET||
203|EPOX EP-8KRAI|1|1|2|62,92|0,0000|0|0|8692212121|ADET||
204|ASUS P4S800-MX|1|1|2|68,97|0,0000|0|0|8692212121|ADET||
205|EPOX EP-8KMM3I|1|1|2|61,71|0,0000|0|0|8692212121|ADET||
206|EPOX EP-8RDA3|1|1|2|116,765|0,0000|0|0|8692212121|ADET||
207|ASUS P4P800S-X AGP 8X DDR400|1|1|2|76,23|0,0000|0|0|8692212121|ADET||
208|BTC PC 380 NOTEBOOK WEBCAM|1|1|2|20,57|0,0000|0|0|8692212121|ADET||
209|BTC 100K USB WEBCAM|1|1|2|12,1|0,0000|0|0|8692212121|ADET||
210|CHICONY-2330 3MP 4XDIGITAL 1.5" LCD 16 MB|1|1|2|83,49|0,0000|0|0|8692212121|ADET||
211|CREATIVE WEB CAM VISTA USB|1|1|2|24,2|0,0000|0|0|8692212121|ADET||
212|CREATIVE WEBCAM NX|1|1|2|37,51|0,0000|0|0|8692212121|ADET||
213|CREATIVE WEBCAM NOTEBOOK|1|1|2|61,71|0,0000|0|0|8692212121|ADET||
214|MINTON MDC-1506 6MP 16MB 4XD KIR GOZ|1|1|2|159,72|0,0000|0|0|8692212121|ADET||
215|MINTON MDC-1600 6MP 16MB 4XD KIR GOZ|1|1|2|156,09|0,0000|0|0|8692212121|ADET||
216|MINTON MDC-1850 4MP 16MB 4XD 3X OPTIK|1|1|2|173,03|0,0000|0|0|8692212121|ADET||
217|MUSTEK GSMART D35  MAV 3.5MP|1|1|2|119,79|0,0000|0|0|8692212121|ADET||
218|ORITE VQ3240 5.0MP 16MB 15"LCD|1|1|2|95,59|0,0000|0|0|8692212121|ADET||
219|RICOH CAPLIO RX SILVEWR|1|1|2|332,75|0,0000|0|0|8692212121|ADET||
220|RICOH CAPLIO G4 WIDE|1|1|2|248,05|0,0000|0|0|8692212121|ADET||
